embedding,accuracy,accuracy_std,macro_f1,macro_f1_std,macro_precision,macro_precision_std,macro_recall,macro_recall_std,loss,loss_std,pred_majority_rate,pred_majority_rate_std,pred_class1_rate,pred_class1_rate_std,target_class1_rate,target_class1_rate_std,unique_pred_classes,unique_pred_classes_std,collapse_flag,collapse_flag_std
fixed,0.6444444457689921,0.05665577289278511,0.6346213221549988,0.06696402597325703,0.6544146339098612,0.05140446108897678,0.644444465637207,0.05665579237517152,0.6461809661653306,0.03176019529823864,0.6333333333333333,0.07200822998230955,0.5888888888888889,0.12272623352430287,0.5,0.0,2.0,0.0,0.0,0.0
mlp,0.6888888875643412,0.015713469040821586,0.6881704131762186,0.01625766914879425,0.690489669640859,0.014712340899192817,0.6888889273007711,0.015713497138720594,0.5907718790902032,0.01781263128644762,0.5444444444444444,0.01571348402636772,0.5,0.04714045207910316,0.5,0.0,2.0,0.0,0.0,0.0
angle_vqc,0.5555555621782938,0.07856742949780494,0.4424333969751994,0.15429077560914525,0.3931419452031453,0.20243328025075455,0.5555555621782938,0.07856742949780494,0.6603522327211169,0.04650996920323662,0.8777777777777778,0.17284832429004496,0.7888888888888889,0.29855619650098675,0.5,0.0,1.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317
quop,0.7222222288449606,0.0684934977315479,0.7144903143246969,0.07731033866494813,0.7378136515617371,0.055103765418832065,0.7222222288449606,0.0684934977315479,0.5775456607341766,0.04761962934987549,0.6222222222222222,0.0785674201318386,0.4222222222222222,0.1227262335243029,0.5,0.0,2.0,0.0,0.0,0.0
quop_trainable,0.7333333492279053,0.054433102150715826,0.7316306829452515,0.053576319870390646,0.7419943809509277,0.06287658757342256,0.7333333492279053,0.054433102150715826,0.5705035540792677,0.03757952891323936,0.5666666666666667,0.05443310539518172,0.5222222222222223,0.0831479419283098,0.5,0.0,2.0,0.0,0.0,0.0
qwalkvec,0.6888889074325562,0.03142696617954218,0.6821543971697489,0.033164782298708916,0.706430713335673,0.033757005546098715,0.6888889074325562,0.03142696617954218,0.6066230780548519,0.05498868343295177,0.6333333333333333,0.05443310539518172,0.45555555555555555,0.13698697784375502,0.5,0.0,2.0,0.0,0.0,0.0
qwalkvec_trainable,0.7111111283302307,0.08314793697230627,0.7039521137873331,0.08923103388700968,0.7265235781669617,0.0836142815281362,0.7111111283302307,0.08314793697230627,0.5900620049900479,0.02491578932447108,0.6333333333333333,0.05443310539518172,0.5888888888888889,0.1133115447465063,0.5,0.0,2.0,0.0,0.0,0.0
qpe,0.6555555462837219,0.08314793697230627,0.6482708851496378,0.08562306374944552,0.6684253017107645,0.08202671966594587,0.6555555661519369,0.08314791573229312,0.6269913196563721,0.03931056457857528,0.6,0.09428090415820632,0.5777777777777777,0.1133115447465063,0.5,0.0,2.0,0.0,0.0,0.0
