seed,embedding,accuracy,macro_f1,macro_precision,macro_recall,loss,pred_majority_rate,pred_class1_rate,target_class1_rate,unique_pred_classes,collapse_flag
7.0,fixed,0.6666666865348816,0.6651785969734192,0.6696832776069641,0.6666666865348816,0.6089576323827107,0.5666666666666667,0.43333333333333335,0.5,2.0,0.0
7.0,mlp,0.699999988079071,0.6996663212776184,0.7008928656578064,0.7000000476837158,0.5794403791427613,0.5333333333333333,0.5333333333333333,0.5,2.0,0.0
7.0,angle_vqc,0.5,0.3333333432674408,0.25,0.5,0.693126932779948,1.0,1.0,0.5,1.0,1.0
7.0,quop,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.5464493254820506,0.5,0.5,0.5,2.0,0.0
7.0,quop_trainable,0.800000011920929,0.7991071939468384,0.8054298758506775,0.800000011920929,0.5621745824813843,0.5666666666666667,0.5666666666666667,0.5,2.0,0.0
7.0,qwalkvec,0.6333333253860474,0.6296296119689941,0.6388888955116272,0.6333333253860474,0.6277278502782185,0.6,0.6,0.5,2.0,0.0
7.0,qwalkvec_trainable,0.5,0.3333333432674408,0.25,0.5,0.6933023532231649,1.0,0.0,0.5,1.0,1.0
7.0,qpe,0.5,0.3333333432674408,0.25,0.5,0.693220857779185,1.0,1.0,0.5,1.0,1.0
13.0,fixed,0.5666666626930237,0.5417156219482422,0.5852272510528564,0.5666666626930237,0.6865614771842956,0.7333333333333333,0.7333333333333333,0.5,2.0,0.0
13.0,mlp,0.699999988079071,0.6996663212776184,0.7008928656578064,0.7000000476837158,0.6159217913945516,0.5333333333333333,0.5333333333333333,0.5,2.0,0.0
13.0,angle_vqc,0.5,0.3333333432674408,0.25,0.5,0.6933524330457052,1.0,1.0,0.5,1.0,1.0
13.0,quop,0.699999988079071,0.696969747543335,0.7083333730697632,0.7000000476837158,0.6916636864344279,0.6,0.4,0.5,2.0,0.0
13.0,quop_trainable,0.5,0.3333333432674408,0.25,0.5,0.6932672460873922,1.0,1.0,0.5,1.0,1.0
13.0,qwalkvec,0.6666666865348816,0.625,0.800000011920929,0.6666666865348816,0.6924673954645792,0.8333333333333334,0.8333333333333334,0.5,2.0,0.0
13.0,qwalkvec_trainable,0.5,0.3333333432674408,0.25,0.5,0.6931333422660828,1.0,1.0,0.5,1.0,1.0
13.0,qpe,0.5,0.3333333432674408,0.25,0.5,0.6935348908106486,1.0,0.0,0.5,1.0,1.0
29.0,fixed,0.699999988079071,0.696969747543335,0.7083333730697632,0.7000000476837158,0.6430237889289856,0.6,0.6,0.5,2.0,0.0
29.0,mlp,0.6666666865348816,0.6651785969734192,0.6696832776069641,0.6666666865348816,0.5769534667332967,0.5666666666666667,0.43333333333333335,0.5,2.0,0.0
29.0,angle_vqc,0.6666666865348816,0.6606335043907166,0.679425835609436,0.6666666865348816,0.5945773323376974,0.6333333333333333,0.36666666666666664,0.5,2.0,0.0
29.0,quop,0.800000011920929,0.7963801026344299,0.8229665160179138,0.800000011920929,0.5145428975423177,0.6333333333333333,0.6333333333333333,0.5,2.0,0.0
29.0,quop_trainable,0.800000011920929,0.7963801026344299,0.8229665160179138,0.800000011920929,0.5900530099868775,0.6333333333333333,0.6333333333333333,0.5,2.0,0.0
29.0,qwalkvec,0.5,0.3333333432674408,0.25,0.5,0.6935665130615234,1.0,1.0,0.5,1.0,1.0
29.0,qwalkvec_trainable,0.5,0.3333333432674408,0.25,0.5,0.6931300918261211,1.0,1.0,0.5,1.0,1.0
29.0,qpe,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.6045993685722351,0.5,0.5,0.5,2.0,0.0
